tupleNew__locationName,tupleNew__ribbon,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy
Piramal Revanta,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹1.09 Cr,"₹24,942 /sqft",437 sqft,(41 sqm),Carpet Area,1 BHK,(1  Bath),Under Construction
Vibrant Homes,RESALE,"in Khar Kopar, Ulwe",1 BHK Flat,₹45.5 Lac,"₹11,097 /sqft",650 sqft,(60 sqm),Built-up Area,1 BHK,(2  Baths),Under Construction
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Pardis CVII Apartments,RESALE,"in Collector Colony, Chembur East",1 BHK Flat,₹1.05 Cr,"₹27,202 /sqft",386 sqft,(36 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
Lalani Velentine Apartments 3,RESALE,"in Goregaon East, Mumbai",1 BHK Flat,₹1.05 Cr,"₹25,609 /sqft",550 sqft,(51 sqm),Super Built-up Area,1 BHK,(2  Baths),Ready To Move
Nirlon Society,RESALE,"in Malad West, Mumbai",1 BHK Flat,₹90 Lac,"₹19,148 /sqft",470 sqft,(44 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
Saptarishi Park,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹1.1 Cr,"₹17,295 /sqft",636 sqft,(59 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
The Baya Goldspot,RESALE,"in Andheri East, Mumbai",1 BHK Flat,₹1 Cr,"₹23,809 /sqft",420 sqft,(39 sqm),Carpet Area,1 BHK,(2  Baths),Ready To Move
,,,,,,,,,,,
S Square Rudraksh Heritage,RESALE,"in Mulund West, Mumbai",1 BHK Flat,₹82 Lac,"₹27,986 /sqft",293 sqft,(27 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
,,,,,,,,,,,
Ashiana Housing Society,RESALE,"in Bandra West, Mumbai",1 BHK Flat,₹2.45 Cr,"₹52,127 /sqft",470 sqft,(44 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
,,,,,,,,,,,
Gokul Vihar1,RESALE,"in Thakur complex, Kandivali East",1 BHK Flat,₹1.1 Cr,"₹25,821 /sqft",426 sqft,(40 sqm),Carpet Area,1 BHK,(1  Bath),Ready To Move
