ImgItem__tag src,ImgItem__shortlistImage src,ImgItem__star src,caption_strong_medium_semi,tupleNew__imgCount,CR__slide src,CR__slide src 2,CR__slide src 3,CR__slide src 4,CR__slide src 5,CR__slide src 6,CR__slide src 7,CR__slide src 8,tupleNew__locationName,tupleNew__ribbon,tupleNew__propertyHeading href,tupleNew__propType,tupleNew__bOld,tupleNew__priceValWrap,tupleNew__perSqftWrap,tupleNew__area1Type,tupleNew__area2Type,tupleNew__area2Type src,tupleNew__areaType,tupleNew__area1Type 2,tupleNew__area2Type 2,tupleNew__possessionBy,tupleNew__highligtsHeading,tupleNew__unitHighlightTxt,tupleNew__unitHighlightTxt 2,tupleNew__unitHighlightTxtLast,descPtag_undefined,tupleNew__fdImg src,tupleNew__badgeWrap src,tupleNew__pbL0,tupleNew__fdBadge,tupleNew__pbL2,undefined,undefined 2,reel__leftC src,reel__imgR src,reel__imageCount,CR__slide src 9,CR__slide src 10,tupleNew__pbL1,tupleNew__locRatings src,tupleNew__locRatings,tupleNew__dotStyle,tupleNew__rera src,tupleNew__reraTags,tupleNew__dot,tupleNew__pbL1 2
https://static.99acres.com/universalapp/img/Featured.png,https://static.99acres.com/universalapp/img/Shortlist.png,https://static.99acres.com/universalapp/img/star_fomo.svg,3 people already contacted since last week,2/8,https://imagecdn.99acres.com/media1/25344/16/506896321M-1721915167719.jpg,https://imagecdn.99acres.com/media1/25344/16/506896333M-1721915161170.jpg,https://imagecdn.99acres.com/media1/25344/16/506896335M-1721915161485.jpg,https://imagecdn.99acres.com/media1/25344/16/506896329M-1721915166866.jpg,https://imagecdn.99acres.com/media1/25344/16/506896327M-1721915164972.jpg,https://imagecdn.99acres.com/media1/25344/16/506896323M-1721915161922.jpg,https://imagecdn.99acres.com/media1/25344/16/506896331M-1721915161219.jpg,https://imagecdn.99acres.com/media1/25344/16/506896325M-1721915164215.jpg,off Turner rd,RESALE,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-bandra-west-western-mumbai-850-sq-ft-spid-C76517431,"in Bandra West, Mumbai",3 BHK Flat,₹5.5 Cr,"₹64,705 /sqft",850 sqft,(79 sqm),https://static.99acres.com/universalapp/img/downArrowNew.png,Carpet Area,3 BHK,(3  Baths),Ready To Move,Highlights :,Furnished,Fitness Center/ Gym,+2,"Furnished, ready to move in 3 bhk apartment with balcony for sale in a very well maintained building located at off turner road, bandra west. It is on the middle floor with good ventilation and lots of natural lights throughout the day. Building has a good security with intercom and cameras, lift, open areas, gym etc. It is located at a walking distance from restaurants and cafes, banks and atm...",https://mediacdn.99acres.com/media1/19869/6/397386672O-1671189389050.jpg,https://static.99acres.com/universalapp/img/FDbadge.png,6d ago,FEATURED DEALER,Lakhani Realtors,View Number,Contact,,,,,,,,,,,,,
https://static.99acres.com/universalapp/img/Featured.png,https://static.99acres.com/universalapp/img/Shortlist.png,https://static.99acres.com/universalapp/img/star_fomo.svg,2 people already contacted since last week,,,,,,,,,,moraj opulence,RESALE,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-shivaji-park-south-mumbai-1250-sq-ft-r2-spid-U66104408,"in Shivaji Park, Dadar",3 BHK Flat,₹4.99 Cr,"₹46,332 /sqft","1,250 sqft",(116 sqm),https://static.99acres.com/universalapp/img/downArrowNew.png,Super Built-up Area,3 BHK,(3  Baths),Under Construction,Highlights :,East Facing,Overlooking Main Road,+1,"This 3 bhk flat is located in moraj opulence, which houses some of the most spacious flats in shivaji park, south mumbai. This residential flat is east-Facing direction. Constructed on a super built up area of 1250 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 1 balcony. This flat lies on the 20th level of a 42 storey building. The flat is currently under construction stage and you c...",https://imagecdn.99acres.com/media1/24246/0/484920166O-1712559725501.jpg,https://static.99acres.com/universalapp/img/FDbadge.png,1mo ago,FEATURED DEALER,MITESH ADVIRKAR,View Number,Contact,https://imagecdn.99acres.com/media1/19753/13/395073164M-1717671783955.jpg,https://imagecdn.99acres.com/media1/23762/1/475241294T-1708615806856.jpg,+4 more,,,,,,,,,,
https://static.99acres.com/universalapp/img/rera.png,https://static.99acres.com/universalapp/img/Shortlist.png,,,2/19,https://newprojects.99acres.com/projects/db/orchidcrown/images/c2jysbqc_med.jpg,https://newprojects.99acres.com/projects/db/orchidcrown/images/ivpu9qn5_med.jpg,https://newprojects.99acres.com/projects/db/orchidcrown/images/k9j8qec_1710573735_480437390_med.jpg,https://newprojects.99acres.com/projects/db/orchidcrown/images/qwmfwri_1710574643_480442852_med.jpg,https://newprojects.99acres.com/projects/db/orchidcrown/images/w1eufqy_1710574642_480442856_med.jpg,https://newprojects.99acres.com/projects/db/orchidcrown/images/pzkamcx_1710574643_480442854_med.jpg,https://newprojects.99acres.com/projects/db/orchidcrown/images/u0uube1t_med.jpg,https://newprojects.99acres.com/projects/db/orchidcrown/images/ej5ei3pb_med.jpg,,,,,,,,,,,,,,,Nearby :,Prabhadevi,IKEA Worli City Store,+3,"Finest 3,4,5 BHK apartments in Prabhadevi available for sale in Rustomjee Crown. Apartment prices in this housing society vary in the range of Rs. 9.45 - 27.14 Cr. The housing society is RERA-registered with P51900003268 registration number. Here units have different sizes, mostly in range of 1,334.74 - 3,088 sq.ft. CARPET area",,,,,,,,,,,https://newprojects.99acres.com/projects/db/orchidcrown/images/6es5znrd_med.jpg,https://newprojects.99acres.com/projects/db/orchidcrown/images/9fg2o710_med.jpg,,,,,,,,
https://static.99acres.com/universalapp/img/rera.png,https://static.99acres.com/universalapp/img/Shortlist.png,,,1/5,https://newprojects.99acres.com/projects/unknown/the_aga_hall_estate/images/71hvxks_1695144553_446393576_med.jpg,https://newprojects.99acres.com/projects/unknown/the_aga_hall_estate/images/x1ixau1_1695145048_446394086_med.jpg,https://newprojects.99acres.com/projects/unknown/the_aga_hall_estate/images/x27optg_1695146940_446395578_med.jpg,https://newprojects.99acres.com/projects/unknown/the_aga_hall_estate/images/ijgsuk8_1695146936_446395576_med.jpg,https://newprojects.99acres.com/projects/unknown/the_aga_hall_estate/images/eynjxic_1695146904_446395476_med.jpg,,,,,,,,,,,,,,,,,,Nearby :,"St. Mary's School ICSE, Mumbai",Eastern Expressway Highway,+3,"Check out 2,3 BHK apartments in Byculla, now available for sale at The Aga Hall Estate. The housing society is RERA-registered with P51900026326 registration number. Here units have different sizes, mostly in range of 660 - 1,404 sq.ft. CARPET area. Apartment prices in this housing society vary in the range of Rs. 3.42 - 8.12 Cr",,,,,,,,,,,,,,,,,,,,
https://static.99acres.com/universalapp/img/rera.png,https://static.99acres.com/universalapp/img/Shortlist.png,,,,,,,,,,,,,,,,,,,,,,,,,,Nearby :,Eastern Express Highway,Lion Tarachand Bapa Hospital,+3,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga, now available in Lodha Divino. Apartments in this complex are available in price range of Rs. 3.65 - 9.03 Cr. Lodha Divino has apartments in multiple configurations, in range of 713.97 - 1,727 sq.ft.. This society is RERA approved and P51900049433 is the RERA number",,,,,,,,,,,,,,,,,,,,
https://static.99acres.com/universalapp/img/rera.png,https://static.99acres.com/universalapp/img/Shortlist.png,,,,,,,,,,,,,,,,,,,,,,,,,,Nearby :,Matunga Station,Western Express Highway,+3,"Looking for your dream home? Explore 2,3,4 BHK apartments in Matunga West, now available in Rustomjee 180 Bayview. Apartments in Rustomjee 180 Bayview have CARPET area ranging between 823.98 - 2,447.74 sq.ft.. Apartments in this complex are available in price range of Rs. 3.6 - 11.6 Cr. Rustomjee 180 Bayview 's RERA registration number is P51900066547",,,,,,,,,,,,,,,,,,,,
https://static.99acres.com/universalapp/img/rera.png,https://static.99acres.com/universalapp/img/Shortlist.png,,,1/23,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/nj6o9mh_1706780843_470751524_med.jpg,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/cjyriu3_1706780842_470751522_med.jpg,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/gljjzum_1699947768_456148070_med.jpg,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/wghb61s_1706780842_470751520_med.jpg,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/mdzoiza_1706781810_470757040_med.jpg,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/wp942ua_1706781809_470757030_med.jpg,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/vbqewoj_1706781808_470757010_med.jpg,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/ibb3ocn_1706781808_470757002_med.jpg,,,,,,,,,,,,,,,Nearby :,Atal Setu,Bhakti Park Monorail Station,+3,"Check out 2,3 BHK apartments in Wadala East, now available for sale at Ajmera Manhattan. This society is RERA approved and P51800032948 is the RERA number. This society offers apartments in the price range of Rs. 2.4 - 4.43 Cr. Here units have different sizes, mostly in range of 718 - 1,225 sq.ft. CARPET area",,,,,,,,,,,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/iwazsch_1706781606_470755880_med.jpg,https://newprojects.99acres.com/projects/ajmera_group/ajmera_manhattan/images/fxr4vjv_1706781809_470757012_med.jpg,,,,,,,,
https://static.99acres.com/universalapp/img/rera.png,https://static.99acres.com/universalapp/img/Shortlist.png,,,1/3,https://newprojects.99acres.com/projects/ami_modispaces/ruparel_stardom/images/y8m0v2z_1715341525_491297244_med.jpg,https://newprojects.99acres.com/projects/ami_modispaces/ruparel_stardom/images/qoqo3yf_1715341525_491297242_med.jpg,https://newprojects.99acres.com/projects/ami_modispaces/ruparel_stardom/images/9t4ahxe_1713265907_486570518_med.jpg,,,,,,,,,,,,,,,,,,,,Nearby :,Ryan International School,Zenith Hospital,+3,"Choose your dream home from the wide variety of 2,3 BHK apartments in Evershine Nagar, available for sale in Ruparel Stardom. Prices of apartments in this project, vary between Rs. 2.11 - 3.55 Cr. This society is RERA approved and P51800055521 is the RERA number. Apartments in Ruparel Stardom have CARPET area ranging between 737 - 1,235 sq.ft.",,,,,,,,,,,,,,,,,,,,
https://static.99acres.com/universalapp/img/rera.png,https://static.99acres.com/universalapp/img/Shortlist.png,,,,,,,,,,,,,,,,,,,,,,,,,,Nearby :,Mahalaxmi Railway Station,Wockhardt Hospitals,+3,"Looking for your dream home? Explore 3,4,5 BHK apartments in Mahalaxmi, now available in Raheja Modern Vivarea. Raheja Modern Vivarea has apartments in multiple configurations, in range of 1,669 - 2,891 sq.ft.. Apartment prices in this housing society vary in the range of Rs. 12.47 - 21.68 Cr. This society is RERA approved and P51900034289 is the RERA number",,,,,,,,,,,,,,,,,,,,
https://static.99acres.com/universalapp/img/rera.png,https://static.99acres.com/universalapp/img/Shortlist.png,,,1/3,https://newprojects.99acres.com/projects/lodha/lodha_aura/images/joepksm_1692597642_440805796_med.jpg,https://newprojects.99acres.com/projects/lodha/lodha_aura/images/wvizd23_1692597673_440805952_med.jpg,https://newprojects.99acres.com/projects/lodha/lodha_aura/images/9va94ci_1692597617_440805740_med.jpg,,,,,,,,,,,,,,,,,,,,Nearby :,Eastren Express Hwy,K.J. Somaiya Hosp&Research Center,+3,"Here are beautifully built 3,4 BHK apartments in Wadala, available for sale at Lodha Aura New Cuffe Parade. This society is RERA approved and P51900034170 is the RERA number. Prices of apartments in this project, vary between Rs. 3.65 - 6.77 Cr. Lodha Aura New Cuffe Parade has apartments in multiple configurations, in range of 953 - 1,768 sq.ft.",,,,,,,,,,,,,,,,,,,,
