NAME,LOCATION,PRICE,BHK,STATUS
Piramal Revanta,Mulund,109,1,Under Construction
Vibrant Homes,Khar,45.5,1,Under Construction
Pardis CVII Apartments,Collector,105,1,Ready To Move
Lalani Velentine Apartments 3,Goregaon,105,1,Ready To Move
Nirlon Society,Malad,90,1,Ready To Move
Saptarishi Park,Mulund,110,1,Ready To Move
The Baya Goldspot,Andheri,100,1,Ready To Move
S Square Rudraksh Heritage,Mulund,82,1,Ready To Move
Ashiana Housing Society,Bandra,245,1,Ready To Move
Gokul Vihar1,Thakur,110,1,Ready To Move
Shivdarshan Building,Prabhat,140,1,Ready To Move
Sai Orchid,Ghatkopar,150,1,Ready To Move
Panchratna CHS,Ekta,55,1,Ready To Move
Shree Vallabh Apartments,Malad,80,1,Ready To Move
marathon neoskies,Utkarsh,65,1,Ready To Move
Falsa Scarlett Homes,Dahisar,56,1,Ready To Move
Sai Simran Tower,Deonar,125,1,Ready To Move
Akruti Aneri,Marol,95,1,Ready To Move
Lovely Cozy CHSL,Dahisar,85,1,Ready To Move
RNA Complex,Santacruz,130,1,Ready To Move
Hirani Bhakti Apartment,Daulat,105,1,Ready To Move
Jolly Jeevan CHS,LIC,74.5,1,Ready To Move
SD Deep Mandir,Chembur,110,1,Ready To Move
Matoshree Park,Bhandup,87,1,Ready To Move
Zoeb Aayesha Palace,Parel,114,1,Under Construction
Sparkling Wings CHS,Vaishali,81,1,Ready To Move
Panditalay Building,Girgaon,120,1,Ready To Move
Om Shivkrupa CHS,Gandhi,99,1,Ready To Move
greenfield co hsg soc,Kapad,225,1,Ready To Move
Loodha Encante Wadala East,Wadala,170,1,Ready To Move
Gaurabai CHS,Barve,75,1,Ready To Move
Deepak Daffodils,Marol,115,1,Ready To Move
Narmada,Rawalpada,85,1,Ready To Move
Susharda Edifice Celestial,Bhandup,99,1,Ready To Move
Arkade Earth,Kanjurmarg,137,1,Ready To Move
"Khushnuma apartment, agripada",Agripada,200,1,Ready To Move
Shreepati Castle,Khetwadi,100,1,Under Construction
Sai Radha,Bhandup,99,1,Ready To Move
greenacre,Pathan,79,1,Under Construction
Ekta Brooklyn park,virar,45,1,Ready To Move
VARELLA MANSION,Madonna,111,1,Under Construction
spring leaf,Alika,95,1,Ready To Move
Shiv Shakti CHS,Ghatkopar,75,1,Ready To Move
Sparkling Wings CHS,Vaishali,92,1,Ready To Move
Lodha New Cuffe Parade,Wadala,165,1,Ready To Move
Thane vrindavan Society,Thane,80,1,Ready To Move
Amiraj Apartments,Dahisar,90,1,Ready To Move
Bhoomi Park,Jankalyan,91,1,Ready To Move
Panam park,Goraswadi,123,1,Ready To Move
"Soham Residency, Hari om Nagar",Mulund,103,1,Ready To Move
Vardhaman Darshan Borivali West,Borivali,145,1,Ready To Move
